Date,Mileage,time_corr,pace_min
2012-09-03 00:00:00,5.0,0:39:41,7.9366666666666665
2012-09-04 00:00:00,5.5,0:37:53,6.887878787878788
2012-09-05 00:00:00,3.1,0:18:00,5.806451612903226
2012-09-06 00:00:00,2.45,0:19:54,8.122448979591836
2012-09-07 00:00:00,5.43,0:46:47,8.615715162676489
2012-09-10 00:00:00,3.1,0:18:13,5.876344086021505
2012-09-11 00:00:00,6.63,0:52:51,7.971342383107089
2012-09-12 00:00:00,3.1,0:18:04,5.827956989247312
2012-09-15 00:00:00,3.1,0:18:08,5.849462365591397
2012-09-17 00:00:00,5.87,0:39:58,6.808631459398069
2012-09-19 00:00:00,6.07,0:49:08,8.094453596924767
2012-09-20 00:00:00,3.4,0:27:22,8.049019607843137
2012-09-21 00:00:00,3.1,0:17:39,5.693548387096774
2012-09-22 00:00:00,3.1,0:17:26,5.623655913978495
2012-09-24 00:00:00,2.5,0:17:01,6.806666666666667
2012-09-25 00:00:00,3.1,0:18:12,5.870967741935484
2012-09-26 00:00:00,8.23,1:11:07,8.641150263264478
2012-09-28 00:00:00,3.1,0:23:59,7.736559139784946
2012-09-29 00:00:00,6.0,0:44:17,7.3805555555555555
2012-10-01 00:00:00,10.3,1:08:06,6.611650485436893
2012-10-02 00:00:00,3.1,0:18:35,5.994623655913979
2012-10-03 00:00:00,3.65,0:28:27,7.794520547945206
2012-10-05 00:00:00,4.43,0:32:23,7.310007524454478
2012-10-07 00:00:00,3.1,0:22:33,7.274193548387097
2012-10-10 00:00:00,7.26,0:47:29,6.540404040404041
2012-10-11 00:00:00,3.1,0:17:12,5.548387096774193
2012-10-12 00:00:00,3.1,0:16:58,5.473118279569892
2012-10-15 00:00:00,2.93,0:21:47,7.4345847554038675
2012-10-16 00:00:00,3.1,0:17:26,5.623655913978495
2012-10-18 00:00:00,1.83,0:12:34,6.867030965391621
2012-10-19 00:00:00,3.1,0:17:26,5.623655913978495
2012-10-22 00:00:00,4.93,0:35:10,7.133198106828939
2012-10-23 00:00:00,5.32,0:36:01,6.770050125313284
2012-10-24 00:00:00,4.91,0:34:40,7.060420909708079
2012-10-25 00:00:00,1.68,0:13:05,7.787698412698413
2012-10-26 00:00:00,3.1,0:17:04,5.505376344086021
2012-10-28 00:00:00,4.1,0:31:41,7.727642276422765
2012-11-04 00:00:00,5.1,0:38:49,7.611111111111112
2012-11-08 00:00:00,3.25,0:22:39,6.9692307692307685
2012-11-11 00:00:00,4.2,0:34:25,8.194444444444445
2012-11-12 00:00:00,2.2,0:16:19,7.416666666666666
2012-11-12 00:00:00,3.36,0:23:14,6.91468253968254
2012-11-15 00:00:00,3.95,0:29:59,7.590717299578059
2012-11-17 00:00:00,3.1,0:17:59,5.801075268817204
2012-11-28 00:00:00,1.0,0:6:00,6.0
2012-11-29 00:00:00,3.6,0:27:17,7.578703703703704
2012-12-01 00:00:00,5.22,0:41:57,8.036398467432951
2012-12-03 00:00:00,4.09,0:29:50,7.294213528932356
2012-12-04 00:00:00,5.26,0:36:27,6.929657794676806
2012-12-08 00:00:00,7.1,0:53:31,7.53755868544601
2012-12-11 00:00:00,5.26,0:37:30,7.129277566539924
2012-12-13 00:00:00,4.08,0:28:12,6.911764705882352
2012-12-14 00:00:00,3.15,0:28:30,9.047619047619047
2012-12-15 00:00:00,3.1,0:18:01,5.811827956989247
