Date,Mileage,time_corr,pace_min,Month,Day,month.day,numRun,highest,rpd,firstRun,numYear
2019-01-24,10.2,NA,NA,1,24,1/24,7,0,1,1,6
2020-01-24,7.16,0:48:25,6.762104283054003,1,24,1/24,8,1,1,1,7
2010-01-25,2.66,0:24:15,9.11654135338346,1,25,1/25,1,0,1,1,1
2011-01-25,3.3,0:24:17,7.358585858585859,1,25,1/25,2,0,1,1,2
2014-01-25,4.97,0:36:32,7.350771294433267,1,25,1/25,3,0,1,1,3
2016-01-25,7.19,0:56:06,7.80250347705146,1,25,1/25,4,0,1,1,4
2017-01-25,9.15,1:03:12,6.907103825136612,1,25,1/25,5,0,1,1,5
2018-01-25,8,NA,NA,1,25,1/25,6,0,1,1,6
2019-01-25,3,NA,NA,1,25,1/25,7,0,1,1,7
2019-01-25,8,0:59:46,7.470833333333333,1,25,1/25,8,0,2,0,7
2020-01-25,6.45,0:45:55,7.118863049095607,1,25,1/25,9,0,1,1,8
2021-01-25,6,0:48:20,8.055555555555555,1,25,1/25,10,1,1,1,9
2010-01-26,2.6,0:24:19,9.352564102564104,1,26,1/26,1,0,1,1,1
2014-01-26,5.15,0:37:31,7.284789644012944,1,26,1/26,2,0,1,1,2
2015-01-26,6,NA,NA,1,26,1/26,3,0,1,1,3
2016-01-26,7.64,NA,NA,1,26,1/26,4,0,1,1,4
2017-01-26,8.03,0:58:28,7.281029472810295,1,26,1/26,5,0,1,1,5
2018-01-26,3.11,0:16:14,5.219721329046089,1,26,1/26,6,0,1,1,6
2018-01-26,5.79,NA,NA,1,26,1/26,7,0,2,0,6
2019-01-26,10,NA,NA,1,26,1/26,8,0,1,1,7
2020-01-26,10,1:08:04,6.806666666666667,1,26,1/26,9,0,1,1,8
2021-01-26,9.41,1:00:42,6.450584484590861,1,26,1/26,10,1,1,1,9
2015-01-27,4,0:27:41,6.920833333333333,1,27,1/27,1,0,1,1,1
2016-01-27,6.45,0:46:20,7.183462532299742,1,27,1/27,2,0,1,1,2
2017-01-27,9.27,1:06:17,7.150305645451278,1,27,1/27,3,0,1,1,3
2018-01-27,13.2,1:36:31,7.311868686868688,1,27,1/27,4,0,1,1,4
2019-01-27,13,NA,NA,1,27,1/27,5,0,1,1,5
2020-01-27,6.06,0:43:48,7.227722772277229,1,27,1/27,6,0,1,1,6
2021-01-27,7.43,0:57:01,7.673844773441005,1,27,1/27,7,1,1,1,7
2010-01-28,3.27,0:26:29,8.09887869520897,1,28,1/28,1,0,1,1,1
2013-01-28,4.22,0:36:51,8.73222748815166,1,28,1/28,2,0,1,1,2
2014-01-28,5.45,0:38:59,7.152905198776758,1,28,1/28,3,0,1,1,3
2016-01-28,5.42,NA,NA,1,28,1/28,4,0,1,1,4
